#mGo	mLSP	Total	TotGenW	Counts	genWeight
2000	1150	32362718	32362718.000	20997	20997.000
2250	1250	32362718	32362718.000	17620	17620.000
1250	400	32362718	32362718.000	49025	49025.000
2200	1000	32362718	32362718.000	18813	18813.000
950	600	32362718	32362718.000	143475	143475.000
750	350	32362718	32362718.000	138916	138916.000
1450	650	32362718	32362718.000	18228	18228.000
1500	950	32362718	32362718.000	17419	17419.000
2250	1500	32362718	32362718.000	22645	22645.000
1250	650	32362718	32362718.000	44739	44739.000
1450	750	32362718	32362718.000	22841	22841.000
1000	775	32362718	32362718.000	134136	134136.000
1450	950	32362718	32362718.000	17549	17549.000
2550	1100	32362718	32362718.000	19669	19669.000
900	650	32362718	32362718.000	145344	145344.000
2550	1000	32362718	32362718.000	16333	16333.000
2600	1100	32362718	32362718.000	18972	18972.000
2500	1600	32362718	32362718.000	17141	17141.000
2250	1200	32362718	32362718.000	22575	22575.000
2000	1300	32362718	32362718.000	19739	19739.000
1650	100	32362718	32362718.000	19250	19250.000
1050	450	32362718	32362718.000	146041	146041.000
2150	1250	32362718	32362718.000	17873	17873.000
2350	800	32362718	32362718.000	17251	17251.000
1550	750	32362718	32362718.000	16351	16351.000
2000	1500	32362718	32362718.000	19765	19765.000
1600	1250	32362718	32362718.000	20408	20408.000
950	500	32362718	32362718.000	143413	143413.000
1300	900	32362718	32362718.000	34735	34735.000
650	400	32362718	32362718.000	216239	216239.000
1900	600	32362718	32362718.000	14581	14581.000
2400	1300	32362718	32362718.000	18236	18236.000
1850	1500	32362718	32362718.000	16049	16049.000
1250	100	32362718	32362718.000	46529	46529.000
850	400	32362718	32362718.000	139858	139858.000
850	550	32362718	32362718.000	142218	142218.000
1300	1000	32362718	32362718.000	37454	37454.000
2100	100	32362718	32362718.000	16799	16799.000
1700	700	32362718	32362718.000	18053	18053.000
2250	100	32362718	32362718.000	14903	14903.000
1750	1350	32362718	32362718.000	19678	19678.000
2500	400	32362718	32362718.000	16956	16956.000
2650	1000	32362718	32362718.000	14510	14510.000
1550	650	32362718	32362718.000	18530	18530.000
1900	1300	32362718	32362718.000	19198	19198.000
600	300	32362718	32362718.000	361205	361205.000
1200	750	32362718	32362718.000	64853	64853.000
1700	400	32362718	32362718.000	18823	18823.000
2750	0	32362718	32362718.000	18947	18947.000
1000	750	32362718	32362718.000	138849	138849.000
1400	200	32362718	32362718.000	20912	20912.000
2100	1400	32362718	32362718.000	18521	18521.000
2350	900	32362718	32362718.000	16784	16784.000
1450	300	32362718	32362718.000	19963	19963.000
1450	600	32362718	32362718.000	18771	18771.000
2400	400	32362718	32362718.000	19034	19034.000
2650	100	32362718	32362718.000	18034	18034.000
1500	0	32362718	32362718.000	18526	18526.000
800	350	32362718	32362718.000	141337	141337.000
1500	300	32362718	32362718.000	20146	20146.000
1900	200	32362718	32362718.000	20106	20106.000
2250	700	32362718	32362718.000	20154	20154.000
2050	200	32362718	32362718.000	21966	21966.000
1700	0	32362718	32362718.000	17854	17854.000
1500	900	32362718	32362718.000	15234	15234.000
1750	600	32362718	32362718.000	19172	19172.000
2650	300	32362718	32362718.000	19141	19141.000
950	400	32362718	32362718.000	132774	132774.000
2100	1450	32362718	32362718.000	18302	18302.000
1800	1000	32362718	32362718.000	16941	16941.000
2700	800	32362718	32362718.000	18750	18750.000
2150	1550	32362718	32362718.000	16910	16910.000
2600	400	32362718	32362718.000	19502	19502.000
1800	100	32362718	32362718.000	18746	18746.000
2800	1100	32362718	32362718.000	20708	20708.000
1700	1300	32362718	32362718.000	20074	20074.000
2450	1100	32362718	32362718.000	16953	16953.000
1900	900	32362718	32362718.000	19642	19642.000
2500	1000	32362718	32362718.000	18445	18445.000
2400	300	32362718	32362718.000	18555	18555.000
1000	0	32362718	32362718.000	139652	139652.000
1750	400	32362718	32362718.000	20304	20304.000
2100	1550	32362718	32362718.000	16327	16327.000
1950	1500	32362718	32362718.000	21309	21309.000
1200	0	32362718	32362718.000	68555	68555.000
2450	1300	32362718	32362718.000	20564	20564.000
1050	650	32362718	32362718.000	138799	138799.000
2250	0	32362718	32362718.000	16796	16796.000
2600	200	32362718	32362718.000	20480	20480.000
1200	600	32362718	32362718.000	67326	67326.000
2150	1150	32362718	32362718.000	18782	18782.000
2150	1400	32362718	32362718.000	19610	19610.000
